Id,Round Number,Date,Location,Home Team,Away Team,Group,Result,Next Game
1,1,14/06/2018 17:00,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A,,
2,1,15/06/2018 14:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,,
3,1,15/06/2018 17:00,Saint Petersburg Stadium,Morocco,Iran,Group B,,
4,1,15/06/2018 20:00,"Fisht Stadium, Sochi",Portugal,Spain,Group B,,
5,1,16/06/2018 12:00,Kazan Arena,France,Australia,Group C,,
6,1,16/06/2018 15:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,,
7,1,16/06/2018 18:00,Saransk Stadium,Peru,Denmark,Group C,,
8,1,16/06/2018 21:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,,
9,1,17/06/2018 14:00,Samara Stadium,Costa Rica,Serbia,Group E,,
10,1,17/06/2018 17:00,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,,
11,1,17/06/2018 20:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,,
12,1,18/06/2018 14:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,,
13,1,18/06/2018 17:00,"Fisht Stadium, Sochi",Belgium,Panama,Group G,,
14,1,18/06/2018 20:00,Volgograd Stadium,Tunisia,England,Group G,,
15,1,19/06/2018 14:00,Saransk Stadium,Colombia,Japan,Group H,,
16,1,19/06/2018 17:00,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,,
17,2,19/06/2018 20:00,Saint Petersburg Stadium,Russia,Egypt,Group A,,
18,2,20/06/2018 14:00,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,,
19,2,20/06/2018 17:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,,
20,2,20/06/2018 20:00,Kazan Arena,Iran,Spain,Group B,,
21,2,21/06/2018 14:00,Samara Stadium,Denmark,Australia,Group C,,
22,2,21/06/2018 17:00,Ekaterinburg Stadium,France,Peru,Group C,,
23,2,21/06/2018 20:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,,
24,2,22/06/2018 14:00,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,,
25,2,22/06/2018 17:00,Volgograd Stadium,Nigeria,Iceland,Group D,,
26,2,22/06/2018 20:00,Kaliningrad Stadium,Serbia,Switzerland,Group E,,
27,2,23/06/2018 14:00,"Otkrytiye Arena, Moscow",Belgium,Tunisia,Group G,,
28,2,23/06/2018 17:00,Rostov-on-Don Stadium,Korea Republic,Mexico,Group F,,
29,2,23/06/2018 20:00,"Fisht Stadium, Sochi",Germany,Sweden,Group F,,
30,2,24/06/2018 14:00,Nizhny Novgorod Stadium,England,Panama,Group G,,
31,2,24/06/2018 17:00,Ekaterinburg Stadium,Japan,Senegal,Group H,,
32,2,24/06/2018 20:00,Kazan Arena,Poland,Colombia,Group H,,
33,3,25/06/2018 16:00,Samara Stadium,Uruguay,Russia,Group A,,
34,3,25/06/2018 16:00,Volgograd Stadium,Saudi Arabia,Egypt,Group A,,
35,3,25/06/2018 20:00,Saransk Stadium,Iran,Portugal,Group B,,
36,3,25/06/2018 20:00,Kaliningrad Stadium,Spain,Morocco,Group B,,
37,3,26/06/2018 16:00,"Luzhniki Stadium, Moscow",Denmark,France,Group C,,
38,3,26/06/2018 16:00,"Fisht Stadium, Sochi",Australia,Peru,Group C,,
39,3,26/06/2018 20:00,Saint Petersburg Stadium,Nigeria,Argentina,Group D,,
40,3,26/06/2018 20:00,Rostov-on-Don Stadium,Iceland,Croatia,Group D,,
41,3,27/06/2018 16:00,Ekaterinburg Stadium,Mexico,Sweden,Group F,,
42,3,27/06/2018 16:00,Kazan Arena,Korea Republic,Germany,Group F,,
43,3,27/06/2018 20:00,"Otkrytiye Arena, Moscow",Serbia,Brazil,Group E,,
44,3,27/06/2018 20:00,Nizhny Novgorod Stadium,Switzerland,Costa Rica,Group E,,
