Round Number,Date,Location,Home Team,Away Team,Group,Result
Round of 16,30/06/2018 20:00,"Fisht Stadium, Sochi",Winner Group A,Runner-up Group B,,
Round of 16,30/06/2018 20:00,Kazan Arena,Winner Group C,Runner-up Group D,,
Round of 16,01/07/2018 16:00,"Luzhniki Stadium, Moscow",Winner Group B,Runner-up Group A,,
Round of 16,01/07/2018 20:00,Nizhny Novgorod Stadium,Winner Group D,Runner-up Group C,,
Round of 16,02/07/2018 16:00,Samara Stadium,Winner Group E,Runner-up Group F,,
Round of 16,02/07/2018 20:00,Rostov-on-Don Stadium,Winner Group G,Runner-up Group H,,
Round of 16,03/07/2018 16:00,Saint Petersburg Stadium,Winner Group F,Runner-up Group E,,
Round of 16,03/07/2018 20:00,"Otkrytiye Arena, Moscow",Winner Group H,Runner-up Group G,,
Quarter Finals,06/07/2018 16:00,Nizhny Novgorod Stadium,To be announced,To be announced,,
Quarter Finals,06/07/2018 20:00,Kazan Arena,To be announced,To be announced,,
Quarter Finals,07/07/2018 16:00,Samara Stadium,To be announced,To be announced,,
Quarter Finals,07/07/2018 20:00,"Fisht Stadium, Sochi",To be announced,To be announced,,
Semi Finals,10/07/2018 20:00,Saint Petersburg Stadium,To be announced,To be announced,,
Semi Finals,11/07/2018 20:00,"Luzhniki Stadium, Moscow",To be announced,To be announced,,
Finals,14/07/2018 16:00,Saint Petersburg Stadium,To be announced,To be announced,,
Finals,15/07/2018 17:00,"Luzhniki Stadium, Moscow",To be announced,To be announced,,
