country,ranking_percentage
England,100.0
Spain,85.14962612926846
Italy,84.28827257015591
Germany,81.0708894874649
France,63.43760434275959
Netherlands,59.43972306211583
Portugal,54.26214336813275
Belgium,46.19434173297851
Turkey,36.95628912431959
Scotland,34.97012448293567
Czech Republic,34.773889309769185
Switzerland,31.91914856542855
Austria,31.618874366131498
Norway,30.690243828898836
Denmark,30.54010250774111
Israel,30.178518886369144
Greece,28.615819335382213
Ukraine,27.166289380614657
Serbia,26.907041981802263
Croatia,24.740229479201854
Poland,24.614452282157676
Cyprus,21.427736680193726
Hungary,21.220504273638458
Sweden,20.867375314914024
Romania,20.756575755057408
Bulgaria,19.782090326796414
Azerbaijan,19.51224776558475
Slovakia,19.032777315806147
Russia,18.046621956190074
Slovenia,12.850973412076513
Moldova,12.773250283676327
Kosovo,11.195973343150037
Kazakhstan,11.148743993177905
Finland,10.77901916449384
Ireland,10.542558112832123
Armenia,10.349912369271038
Latvia,10.349912369271038
Faroe Islands,10.036137984688755
Bosnia-Herzegovina,9.684996663531023
Liechtenstein,9.684996663531023
Iceland,9.27711301257862
Northern Ireland,8.930684653825104
Luxembourg,8.380905264646312
Lithuania,8.259743662639849
Malta,8.009420458626922
Georgia,7.407665854787819
Albania,7.164637513812147
Estonia,6.965838871063393
Belarus,6.429356988218244
North Macedonia,5.822494062845736
Andorra,5.811965182317358
Wales,5.624585456683412
Montenegro,5.527621849677254
Gibraltar,4.800890778022731
San Marino,1.7764948537676722





























































































